"Area","Boro","AreaType","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01"
"NYC","All","City",1927,1957,2053,2152,2106,2029,2067,2106,2070,1978,1999,2020,2119,2167,2127,2132,2085,2029,1987,2033,2014,1879,1857,1945,2085,2130,2133,2147,2130,1969,1973,1938,1843,1748,1716,1682,1798,1835,1885,1849,1815,1757,1684,1679,1602,1495,1504,1527,1588,1717,1771,1744,1714,1646,1580,1596,1457,1337,1353,1346,1445,1529,1595,1598,1641,1510,1530,1544,1446,1331,1276,1282,1370,1472,1546,1599,1540,1438,1403,1357,1255,1138,1137,1189,1303,1336,1364,1321,1146
"Manhattan","Manhattan","Borough",1477,1532,1570,1634,1592,1520,1541,1570,1537,1466,1496,1510,1610,1623,1600,1582,1537,1491,1524,1555,1518,1429,1395,1462,1560,1595,1602,1616,1600,1470,1490,1485,1407,1320,1306,1288,1383,1422,1468,1459,1428,1382,1307,1282,1213,1125,1131,1156,1215,1333,1375,1346,1329,1278,1233,1250,1130,1031,1053,1051,1120,1205,1254,1218,1243,1146,1152,1163,1095,1002,963,976,1052,1136,1205,1231,1182,1105,1071,1037,945,875,879,916,1003,1033,1054,1008,867
"All Downtown","Manhattan","Submarket",541,545,573,596,567,544,545,545,536,516,541,530,572,587,537,528,508,502,511,535,517,492,479,528,592,616,615,627,596,548,542,536,504,470,444,442,468,484,511,504,484,460,419,415,408,391,392,399,443,495,512,516,483,456,433,423,366,347,359,363,388,424,430,415,405,375,371,362,341,302,291,299,326,370,391,400,390,362,349,330,307,291,301,324,369,377,386,359,300
"All Midtown","Manhattan","Submarket",426,446,453,479,474,460,468,484,467,445,444,451,470,472,492,493,483,467,489,487,468,424,403,411,431,445,448,461,457,428,445,450,436,406,401,405,442,448,440,440,441,435,412,394,364,332,335,335,335,379,381,355,362,349,344,371,346,309,320,311,335,354,367,350,363,329,331,334,317,297,290,292,336,346,375,381,357,336,330,323,299,291,285,303,334,352,357,343,300
"All Upper West Side","Manhattan","Submarket",211,210,208,206,198,192,197,212,220,214,205,214,228,219,214,212,206,192,186,189,183,178,183,178,186,180,187,178,173,159,168,177,163,151,154,151,167,177,179,181,178,173,169,172,154,133,129,137,151,167,169,167,168,164,157,163,158,144,146,148,159,171,186,187,200,185,175,176,161,156,150,154,160,167,171,167,167,152,148,155,139,116,123,123,130,134,129,116,97
"All Upper East Side","Manhattan","Submarket",253,273,280,297,304,270,273,271,251,229,241,254,282,283,296,289,271,264,276,283,287,273,268,282,286,280,282,276,292,255,254,255,243,235,255,239,256,262,283,279,270,262,254,250,239,221,225,236,237,242,251,249,250,242,229,231,199,179,179,186,193,210,219,214,219,206,223,243,232,210,201,198,199,213,228,239,221,213,201,191,171,155,150,149,149,153,160,160,145
"All Upper Manhattan","Manhattan","Submarket",43,55,53,52,45,49,53,54,59,58,59,57,54,59,59,57,65,63,61,61,63,62,59,57,60,69,66,69,75,76,78,65,59,56,50,48,47,49,54,54,54,52,53,51,48,48,50,49,49,50,62,59,66,67,70,62,61,52,49,43,45,45,51,51,55,51,50,45,42,36,31,32,29,37,36,40,42,38,41,35,25,19,16,13,17,13,18,25,20
"Bronx","Bronx","Borough",15,17,18,24,25,23,25,30,30,32,33,30,32,37,30,33,31,31,31,35,30,28,32,33,35,34,40,46,47,48,43,38,43,43,45,46,47,52,51,46,52,49,51,49,48,47,51,51,53,52,51,51,51,49,49,50,47,50,55,58,57,54,59,58,61,58,58,57,50,43,40,38,40,39,35,36,39,46,45,43,44,40,39,40,40,47,47,51,46
"Brooklyn","Brooklyn","Borough",371,342,396,416,425,426,431,442,442,426,418,422,418,448,440,446,443,441,367,374,386,351,366,371,399,408,401,398,395,367,360,338,323,318,299,282,291,286,285,262,245,241,241,251,245,227,228,226,226,236,242,245,223,207,188,192,185,172,168,162,168,168,170,206,213,201,216,212,194,179,179,178,177,195,201,216,213,190,180,175,165,129,123,133,148,152,160,163,143
"North Brooklyn","Brooklyn","Submarket",109,86,83,70,69,70,71,70,64,59,59,60,57,65,57,53,52,57,55,57,65,60,68,62,66,68,60,60,55,50,50,39,38,41,38,32,32,28,30,21,13,14,12,18,15,12,10,7,10,17,18,15,11,12,15,15,16,11,10,9,10,10,9,9,12,14,18,13,11,12,13,15,17,20,23,31,36,36,29,25,25,15,15,19,26,19,21,26,26
