"Month","PI_All_Upper_East_Side","YoY","MoM"
1995-01-01,297621.206828286,NA,NA
1995-02-01,295726.528491429,NA,-0.00636607302634118
1995-03-01,294022.326700828,NA,-0.00576276264187037
1995-04-01,292154.494005111,NA,-0.00635269000377126
1995-05-01,290385.161101439,NA,-0.00605615501379453
1995-06-01,288618.940552785,NA,-0.00608233747879727
1995-07-01,286992.48774748,NA,-0.00563529476683078
1995-08-01,285425.830546605,NA,-0.0054588787782256
1995-09-01,284004.904450861,NA,-0.00497826735941298
1995-10-01,282795.83046108,NA,-0.00425722926200622
1995-11-01,281745.867541889,NA,-0.00371279490747389
1995-12-01,280948.668438952,NA,-0.00282949705666546
1996-01-01,280374.898631395,-0.0579471751380972,-0.00204225850488859
1996-02-01,280076.691422009,-0.0529199634177325,-0.00106360166634467
1996-03-01,280059.768567017,-0.0474880880322347,-6.04222183090419e-05
1996-04-01,280333.410690786,-0.040461754163937,0.000977084731482281
1996-05-01,280894.66498176,-0.0326824417738208,0.00200209561033127
1996-06-01,281782.797707272,-0.0236857041759624,0.00316179990663135
1996-07-01,282938.455273592,-0.0141259184367751,0.0041012353334644
1996-08-01,284428.676613058,-0.00349356584734184,0.00526694520200666
1996-09-01,286207.572314341,0.00775573882337843,0.00625427689804559
1996-10-01,288190.698127154,0.0190768996037818,0.00692897744380838
1996-11-01,290489.657876079,0.0310343161746298,0.00797721704366428
1996-12-01,292933.888680912,0.0426598221965384,0.00841417495790786
1997-01-01,295659.569231513,0.0545151177039311,0.0093047634839234
1997-02-01,298560.372116224,0.065995069423195,0.00981129375331991
1997-03-01,301306.898248602,0.0758664116245626,0.00919923201096906
1997-04-01,304458.9125227,0.0860600303490913,0.0104611420860896
1997-05-01,307591.786354418,0.0950431770371711,0.0102899724818681
1997-06-01,310884.947902059,0.103278661549169,0.0107062727086189
1997-07-01,314098.077925778,0.110128623633206,0.0103354313079531
1997-08-01,317416.87918291,0.115980578901789,0.0105661304234934
1997-09-01,320707.615854874,0.120542036192675,0.0103672390719565
1997-10-01,323842.094886075,0.123707659513673,0.00977363453888258
1997-11-01,327011.192603284,0.125724044684527,0.00978593508149039
1997-12-01,329994.625552139,0.126515703041778,0.00912333588677483
1998-01-01,332976.720679116,0.126216619825965,0.00903679907509813
1998-02-01,335849.36288656,0.124895981693849,0.00862715628163313
1998-03-01,338347.717773914,0.122933858270813,0.00743891507156902
1998-04-01,341015.339763631,0.120070149820974,0.00788426180991597
1998-05-01,343509.386372849,0.116770348272712,0.00731359067585102
1998-06-01,346010.81998929,0.112986724909874,0.0072819949488252
1998-07-01,348383.508782373,0.109155175615869,0.00685726762289218
1998-08-01,350817.241473928,0.105225539287629,0.00698578615291368
1998-09-01,353274.232619458,0.101546128481468,0.0070036214161171
1998-10-01,355715.883855746,0.0984238598780163,0.00691148974603517
1998-11-01,358349.799286669,0.0958334374854353,0.00740454826580428
1998-12-01,361055.152718547,0.0941243425235736,0.00754947662106487
1999-01-01,364063.902752441,0.0933614278197039,0.00833321449988933
1999-02-01,367336.774339168,0.0937545665770483,0.00898982723083175
1999-03-01,370558.780172725,0.0952010630091931,0.00877125857968841
1999-04-01,374460.794603979,0.0980761008098039,0.010530082243456
1999-05-01,378602.546643126,0.10216070262542,0.0110605758969442
1999-06-01,383285.616354545,0.107727256524549,0.0123693560778761
1999-07-01,388213.529207731,0.114328087929785,0.0128570252650104
1999-08-01,393715.969452714,0.122282268107893,0.0141737467424512
1999-09-01,399631.261283007,0.131221086575776,0.0150242618771972
1999-10-01,405724.977582104,0.140587182063084,0.0152483473878746
1999-11-01,412369.338076619,0.150745274303156,0.0163765133073912
1999-12-01,419087.614935118,0.160730187007771,0.016291892335728
2000-01-01,426273.551177294,0.170875629125897,0.0171466203869752
2000-02-01,433649.188871573,0.180522123470214,0.0173025928395254
2000-03-01,440658.294186678,0.189172454586767,0.0161630771945949
2000-04-01,448198.555332323,0.196917172080266,0.0171113564526517
2000-05-01,455477.307238991,0.203048715011229,0.0162400164393011
2000-06-01,462911.331597991,0.207745117076845,0.0163213934939221
2000-07-01,469957.03825161,0.210563267103806,0.0152204238105309
2000-08-01,477024.023711028,0.211594298230057,0.0150375138240506
2000-09-01,483817.972884803,0.210660976149657,0.0142423627240433
2000-10-01,490092.227408178,0.207941966819138,0.0129682129954038
2000-11-01,496226.487894072,0.203354473949448,0.0125165430970708
2000-12-01,501791.101019895,0.197341756562242,0.0112138575057514
2001-01-01,507134.680868583,0.189693049141719,0.0106490127820662
2001-02-01,512048.00691907,0.180788573020287,0.00968840474895361
2001-03-01,516109.090446192,0.1712229118455,0.00793106011984523
2001-04-01,520182.613944901,0.160607520386147,0.00789275673324807
2001-05-01,523697.849474132,0.149778136365738,0.00675769515357794
2001-06-01,526891.366944532,0.138212290301208,0.00609801524601661
2001-07-01,529561.84048377,0.126830321456424,0.00506835698357544
2001-08-01,531896.438966451,0.11503071654241,0.00440854741449659
2001-09-01,533809.569916055,0.103327283881524,0.00359681097568698
2001-10-01,535270.769387332,0.0921837553271925,0.00273730474990797
2001-11-01,536393.995498353,0.0809459159964385,0.00209842602148158
2001-12-01,537126.298856738,0.0704181436558438,0.00136523407146805
2002-01-01,537547.322129093,0.059969555244026,0.000783844085182839
2002-02-01,537661.203850555,0.0500210851041043,0.000211854318259652
2002-03-01,537531.160102409,0.041506863670425,-0.000241869316988663
2002-04-01,537176.120564947,0.0326683479310701,-0.000660500383632079
2002-05-01,536674.00322644,0.0247779397324959,-0.000934735032485756
2002-06-01,536060.577686921,0.0174024691191328,-0.00114301332993705
2002-07-01,535444.917941727,0.0111093304090462,-0.00114848912757337
2002-08-01,534861.346180057,0.00557421895767263,-0.00108988196939852
2002-09-01,534418.8069293,0.00114130028305937,-0.0008273906011671
2002-10-01,534210.14819285,-0.00198146668030474,-0.000390440481779608
2002-11-01,534307.262467181,-0.00389029901282356,0.000181790395895165
2002-12-01,534785.437164951,-0.00435812153821036,0.000894943287055749
2003-01-01,535759.405785868,-0.00332606315690243,0.00182123250416066
2003-02-01,537296.017306931,-0.00067921311972774,0.00286809994275194
2003-03-01,539224.526113083,0.00315026576385247,0.00358928550376758
2003-04-01,542000.52626514,0.00898105019098572,0.00514813406590919
2003-05-01,545364.550647465,0.0161933452501479,0.00620668102576616
2003-06-01,549573.74614799,0.0252082861966407,0.0077181318359032
2003-07-01,554365.827617883,0.0353367994394063,0.00871963317658753
2003-08-01,560059.000425516,0.0471106286244445,0.0102697037299284
2003-09-01,566483.299102255,0.0599988094677919,0.0114707533882299
2003-10-01,573370.360913676,0.0733048835805516,0.0121575725574528
2003-11-01,581148.103516888,0.0876664876936497,0.013564954056603
2003-12-01,589269.134246658,0.101879545132232,0.0139741155148316
2004-01-01,598221.651074986,0.116586371820195,0.0151925772249599
2004-02-01,607683.843263809,0.131003811101522,0.0158172011524818
2004-03-01,616941.647027393,0.144127570521545,0.0152345728230352
2004-04-01,627211.97076922,0.157216534624536,0.0166471558393113
2004-05-01,637457.359987005,0.168864678186739,0.0163348113480994
2004-06-01,648294.664237467,0.179631794243122,0.0170008300644355
2004-07-01,658960.399617764,0.188674277506109,0.0164519869878026
2004-08-01,670098.195292676,0.196477861767343,0.0169020713253378
2004-09-01,681285.443745097,0.202657597893489,0.0166949389373221
2004-10-01,692091.453059082,0.20705829990274,0.015861206801342
2004-11-01,703166.19382351,0.209960403498204,0.0160018458766926
2004-12-01,713726.723572309,0.211206700118039,0.0150185401994016
2005-01-01,724405.315290413,0.210931289412008,0.0149617372664097
2005-02-01,734773.574851941,0.209137914389077,0.0143127878035667
2005-03-01,743812.030531329,0.205644057448925,0.0123010080775015
2005-04-01,753394.303259293,0.201179726106506,0.0128826535934341
2005-05-01,762189.32533549,0.195671072573433,0.0116738632587863
2005-06-01,770728.663326021,0.188855478600247,0.0112036966494797
2005-07-01,778415.043054829,0.181277423508842,0.00997287384595036
