"Month","PI_All_Upper_Manhattan","YoY","MoM"
1995-01-01,163465.483351517,NA,NA
1995-02-01,162914.697953189,NA,-0.00336942935618767
1995-03-01,162405.129149396,NA,-0.00312782585117111
1995-04-01,161810.971637164,NA,-0.00365848982321804
1995-05-01,161188.15767072,NA,-0.00384902185644864
1995-06-01,160475.809483746,NA,-0.00441935807982341
1995-07-01,159703.963319222,NA,-0.00480973529285555
1995-08-01,158815.727959355,NA,-0.00556176153306642
1995-09-01,157838.338918587,NA,-0.00615423329494313
1995-10-01,156831.402815945,NA,-0.00637954067142998
1995-11-01,155757.898175398,NA,-0.00684495975468946
1995-12-01,154720.584079298,NA,-0.00665978488572117
1996-01-01,153705.410744957,-0.0597072385340963,-0.00656133338936127
1996-02-01,152809.183590616,-0.0620294822354029,-0.00583081070469349
1996-03-01,152133.495365709,-0.0632469789438611,-0.00442177759890017
1996-04-01,151644.017958044,-0.0628322886653078,-0.00321742037470563
1996-05-01,151454.160860926,-0.0603890319888071,-0.0012519919985956
1996-06-01,151598.380381232,-0.0553194224791447,0.000952232143944798
1996-07-01,152102.069415978,-0.0475999076369111,0.00332252253276222
1996-08-01,153001.76090069,-0.0366082574652369,0.00591505091394184
1996-09-01,154281.191193634,-0.0225366520537652,0.00836219325459253
1996-10-01,155866.889973572,-0.00614999818311401,0.01027797859006
1996-11-01,157813.029867963,0.0131943979511768,0.0124859095778564
1996-12-01,159929.788199354,0.0336684620928382,0.013413077064431
1997-01-01,162266.047871112,0.0556950928706046,0.0146080333005008
1997-02-01,164653.393073258,0.0775098014683027,0.0147125368089482
1997-03-01,166766.729732688,0.0961868018072078,0.012835062916011
1997-04-01,168949.888165945,0.114121680768767,0.0130910909913293
1997-05-01,170800.070221069,0.127734419775422,0.0109510700196915
1997-06-01,172350.781250615,0.136890650264183,0.00907910065574802
1997-07-01,173421.722913137,0.14016675498906,0.00621373256767699
1997-08-01,174009.86032703,0.137306259108847,0.00339137106939913
1997-09-01,174032.667173104,0.128022578945995,0.0001310664006684
1997-10-01,173500.484177292,0.113132392689112,-0.00305794885785449
1997-11-01,172412.922642658,0.0925138614150538,-0.00626834870110893
1997-12-01,170886.393020739,0.0685088434415226,-0.00885391650765455
1998-01-01,168879.765655819,0.0407584819589619,-0.0117424642737757
1998-02-01,166547.426119666,0.0115031522342504,-0.0138106511878178
1998-03-01,164267.032921983,-0.0149891816833742,-0.013692155146514
1998-04-01,161684.528844291,-0.0430030430947536,-0.0157213777576296
1998-05-01,159265.234075638,-0.0675341417043991,-0.0149630566755254
1998-06-01,156995.189292654,-0.089094994792235,-0.0142532348390998
1998-07-01,155162.701656297,-0.105286817303652,-0.0116722534277229
1998-08-01,153783.695162026,-0.116235741624015,-0.00888748700267772
1998-09-01,153027.130436481,-0.120698815215703,-0.00491966800997878
1998-10-01,152972.954494696,-0.118313961946184,-0.000354028345373125
1998-11-01,153692.546477252,-0.108578729937808,0.00470404709730388
1998-12-01,155162.1140352,-0.0920159803690808,0.00956173602188803
1999-01-01,157477.110924105,-0.0675193661445042,0.0149198591634325
1999-02-01,160544.803216587,-0.0360415230840337,0.0194802423951024
1999-03-01,163903.872311098,-0.00221079424413451,0.020922938813402
1999-04-01,168197.189764171,0.0402800500853848,0.0261941184947996
1999-05-01,172806.873987796,0.0850257119248401,0.0274064283124353
1999-06-01,177899.697035918,0.133153810874392,0.0294711832382393
1999-07-01,183004.475924325,0.179435998283276,0.0286947025400304
1999-08-01,188310.487909091,0.224515301903025,0.0289938918595676
1999-09-01,193496.777612729,0.264460602906267,0.0275411622646395
1999-10-01,198266.001469916,0.296085325179429,0.024647562176626
1999-11-01,202809.206846603,0.319577373757813,0.0229146971392227
1999-12-01,206753.633805944,0.332500753109361,0.019448954121319
2000-01-01,210289.661176076,0.335366517343737,0.0171026129265068
2000-02-01,213215.76564035,0.328076408382432,0.0139146377806165
2000-03-01,215390.338997009,0.314125993241865,0.010198933226764
2000-04-01,217125.237165326,0.290896937515761,0.0080546703087776
2000-05-01,218276.461096224,0.263123717587992,0.00530211939398906
2000-06-01,218986.187841566,0.230953124093029,0.0032515038120795
2000-07-01,219278.815374803,0.19821558607932,0.0013362830602317
2000-08-01,219279.634863827,0.164457897691212,3.73720107038622e-06
2000-09-01,219089.3411108,0.132263512673544,-0.00086781316078377
2000-10-01,218830.846029968,0.103723504824771,-0.0011798615100177
2000-11-01,218597.540407197,0.0778482091916821,-0.00106614596161458
2000-12-01,218506.943801689,0.0568469331319044,-0.000414444761543509
2001-01-01,218645.355656088,0.0397342143844883,0.000633443734054939
2001-02-01,219101.038248823,0.027602427010019,0.00208411741181402
2001-03-01,219825.586769916,0.0205916746013801,0.00330691505108605
2001-04-01,221010.679313594,0.0178949356555431,0.00539105825254937
2001-05-01,222568.826433718,0.0196648109280158,0.00705009877786722
2001-06-01,224600.353761792,0.0256370777333585,0.00912763642881065
2001-07-01,226957.538165268,0.0350180785924958,0.0104950164325011
2001-08-01,229758.891568355,0.0477894662267002,0.0123430727427409
2001-09-01,232887.023977875,0.0629774264558911,0.0136148481051916
2001-10-01,236179.791265401,0.0792801634238398,0.0141389040543496
2001-11-01,239796.981710466,0.0969793221999631,0.0153154104577884
2001-12-01,243446.906691952,0.114138079350459,0.0152208962575404
2002-01-01,247320.328366421,0.131148327501806,0.0159107450864839
2002-02-01,251246.007147569,0.146712992123026,0.0158728512414554
2002-03-01,254796.210948398,0.159083502026922,0.0141303889408413
2002-04-01,258699.971681686,0.170531543928763,0.0153211098342378
2002-05-01,262427.484733731,0.179084640642084,0.0144086333980415
2002-06-01,266221.022686796,0.185309899240613,0.0144555664850201
2002-07-01,269834.541138601,0.188920814527479,0.0135733775467342
2002-08-01,273512.10319642,0.190430983233781,0.0136289521804773
2002-09-01,277153.479020551,0.190076949271682,0.0133133992301446
2002-10-01,280669.360443825,0.188371616978989,0.0126856838878568
2002-11-01,284330.890996747,0.185715053494927,0.013045708114102
2002-12-01,287939.339043681,0.182760310887939,0.0126910165627225
2003-01-01,291775.825506099,0.179748658079632,0.0133239399491587
2003-02-01,295768.556144832,0.177206991278126,0.0136842407413555
2003-03-01,299548.648229586,0.175640120842502,0.0127805745614911
2003-04-01,303965.105157108,0.17497154399042,0.0147437050830466
2003-05-01,308507.894247057,0.175592924499054,0.0149451006476591
2003-06-01,313517.742409356,0.177659597447358,0.0162389626188515
2003-07-01,318700.285466458,0.181095215318474,0.0165303022957326
2003-08-01,324425.37208447,0.186146310503438,0.0179638578284678
2003-09-01,330535.527914027,0.192608258363295,0.0188337792149216
2003-10-01,336820.445110445,0.20006132688594,0.0190143469178072
2003-11-01,343700.142495399,0.20880338147757,0.0204254150388568
2003-12-01,350715.442964531,0.21801850392984,0.0204111072465623
2004-01-01,358309.476380127,0.228030032161241,0.0216529769872855
2004-02-01,366211.625597195,0.238169568701105,0.0220539777426503
2004-03-01,373841.152355829,0.248014820181402,0.0208336552565509
2004-04-01,382201.738482321,0.257386890790557,0.022364006942003
2004-05-01,390431.920618428,0.26554920603025,0.021533607274494
2004-06-01,399009.680579617,0.272686124597807,0.0219699248657792
2004-07-01,407309.372535793,0.278032656731524,0.0208007283034324
2004-08-01,415807.67797849,0.281674350273159,0.0208644976416568
2004-09-01,424149.02073773,0.283217642032271,0.020060578967162
2004-10-01,431998.840758535,0.282579032923256,0.0185072218418705
2004-11-01,439809.390384894,0.279631097012951,0.0180800245034096
2004-12-01,447024.082872831,0.27460621378466,0.0164041347130455
2005-01-01,454072.762998026,0.26726417505158,0.0157680098125734
2005-02-01,460661.451778822,0.25791050742205,0.0145102047902941
2005-03-01,466194.718938326,0.247039594224753,0.0120115697507095
2005-04-01,471844.008541932,0.234541764293304,0.0121178755874174
2005-05-01,476840.677698815,0.221315810816697,0.0105896632497759
2005-06-01,481529.952792543,0.206812707132956,0.00983405005704974
2005-07-01,485625.890520923,0.192277721225892,0.00850609127142765
